<s>	23.652218
start	0.840931
to	0.810919
start	0.679541
to	0.701842
start	0.642444
to	0.687754
start	0.599293
to	0.658903
start	0.560025
to	0.625925
start	0.563065
to	0.606637
start	0.569865
to	0.598287
start	0.561393
to	0.599563
start	0.540622
to	0.614669
start	0.573852
to	0.656478
start	0.569145
to	0.648312
start	0.479082
to	0.623023
start	0.473712
to	0.598059
start	0.504243
to	0.619076
start	0.490821
to	0.603367
start	0.397253
to	0.552308
start	0.402262
to	0.481205
restore	0.337599
data	0.359769
through	0.685608
a	0.608144
restoration	0.329392
solution	0.354650
on	0.684990
the	0.475864
bottom	0.382243
left	0.369532
to	0.624107
the	0.399542
bottom	0.286304
left	0.218684
.	0.097479
