<s>	45.122929
start	0.714396
to	0.203527
start	0.440346
to	0.130741
start	0.320288
to	0.117604
start	0.258456
to	0.105752
start	0.196615
to	0.091940
start	0.161953
to	0.080131
start	0.158357
to	0.068692
start	0.136818
to	0.061792
start	0.112886
to	0.055893
start	0.099545
to	0.047858
start	0.093350
to	0.040831
start	0.086946
to	0.035604
start	0.074650
to	0.030266
start	0.059113
to	0.026501
start	0.051121
to	0.022788
start	0.044722
to	0.015837
start	0.033408
to	0.010133
restore	0.031723
data	0.002079
through	0.008046
a	0.007006
restoration	0.011587
solution	0.009053
on	0.008202
the	0.012418
bottom	0.177719
left	0.116107
to	0.103629
the	0.021840
bottom	0.151641
left	0.027034
.	0.000125
