<s>	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
start	1.000000
to	1.000000
restore	1.000000
data	1.000000
through	1.000000
a	1.000000
restoration	1.000000
solution	1.000000
on	1.000000
the	1.000000
bottom	1.000000
left	1.000000
to	1.000000
the	1.000000
bottom	1.000000
left	1.000000
.	1.000000
