<s>	7.837577
start	1.289045
to	1.780842
start	1.449337
to	1.552599
start	1.513503
to	1.333110
start	1.397309
to	1.068063
start	1.257148
to	0.949769
start	1.194041
to	0.983516
start	1.206065
to	0.943764
start	1.157977
to	0.891888
start	1.037010
to	0.845831
start	0.909868
to	0.813794
start	0.907697
to	0.747539
start	0.872515
to	0.603279
start	0.741763
to	0.532248
start	0.616021
to	0.502562
start	0.566660
to	0.488264
start	0.506461
to	0.428115
start	0.366879
to	0.392219
restore	0.860553
data	0.927662
through	0.693657
a	0.557961
restoration	1.084245
solution	0.505859
on	0.641886
the	1.059770
bottom	1.107625
left	0.661892
to	0.556385
the	0.616034
bottom	0.576814
left	0.217303
.	0.248078
