<s>	35.415306
start	0.856568
to	0.721106
start	0.724306
to	0.552069
start	0.551384
to	0.494168
start	0.455398
to	0.413800
start	0.381878
to	0.339996
start	0.331600
to	0.301825
start	0.315034
to	0.288779
start	0.298659
to	0.279419
start	0.277700
to	0.284321
start	0.272880
to	0.280159
start	0.266654
to	0.247686
start	0.239517
to	0.216350
start	0.219430
to	0.201527
start	0.194578
to	0.178098
start	0.166938
to	0.148144
start	0.139153
to	0.115026
start	0.107100
to	0.082960
restore	0.290206
data	0.119159
through	0.226044
a	0.213371
restoration	0.217548
solution	0.278920
on	0.282643
the	0.301435
bottom	0.468654
left	0.470039
to	0.202377
the	0.161612
bottom	0.210232
left	0.118119
.	0.080121
