<s>	28.501251
start	1.026654
to	0.511165
start	0.831261
to	0.393302
start	0.605134
to	0.368046
start	0.488099
to	0.320323
start	0.383301
to	0.265459
start	0.312675
to	0.237309
start	0.307533
to	0.234124
start	0.306599
to	0.232457
start	0.298855
to	0.236051
start	0.283008
to	0.232196
start	0.275235
to	0.207174
start	0.270882
to	0.186019
start	0.265578
to	0.175934
start	0.226821
to	0.150726
start	0.184516
to	0.124539
start	0.169854
to	0.111254
start	0.158432
to	0.100860
restore	1.074476
data	0.508343
through	0.364759
a	0.295735
restoration	1.001168
solution	0.508467
on	1.133488
the	1.112143
bottom	2.758647
left	0.768618
to	0.328017
the	0.237429
bottom	0.607330
left	0.285898
.	0.032852
