<s>	20.721041
start	1.169657
to	0.860682
start	1.020003
to	0.720814
start	0.994406
to	0.631838
start	0.932047
to	0.540515
start	0.859677
to	0.476342
start	0.829327
to	0.474078
start	0.840937
to	0.475249
start	0.852825
to	0.482425
start	0.849844
to	0.491275
start	0.810986
to	0.491221
start	0.808165
to	0.494583
start	0.832231
to	0.473272
start	0.752231
to	0.422732
start	0.654350
to	0.371157
start	0.611289
to	0.359173
start	0.590388
to	0.368503
start	0.536418
to	0.418920
restore	0.923781
data	0.400226
through	0.590453
a	0.400423
restoration	0.734118
solution	0.607984
on	0.530262
the	0.363094
bottom	0.776970
left	0.249845
to	0.565293
the	0.214988
bottom	0.319422
left	0.053094
.	0.051445
