<s>	31.465902
start	0.782779
to	0.715934
start	0.683835
to	0.589177
start	0.587022
to	0.529880
start	0.515834
to	0.468825
start	0.456313
to	0.417062
start	0.418991
to	0.392305
start	0.410437
to	0.382017
start	0.403081
to	0.376363
start	0.389821
to	0.378767
start	0.384503
to	0.381182
start	0.380792
to	0.367532
start	0.359720
to	0.343695
start	0.336213
to	0.316844
start	0.310062
to	0.294641
start	0.284922
to	0.273288
start	0.254761
to	0.248537
start	0.233123
to	0.224306
restore	0.393520
data	0.211214
through	0.354375
a	0.359624
restoration	0.330974
solution	0.332139
on	0.362944
the	0.362480
bottom	0.573276
left	0.389633
to	0.330973
the	0.218146
bottom	0.250248
left	0.111196
.	0.060793
